step,starting_modules,modules,move_type,energy,mc_outcome
82,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3Y,7,2e+19,cR
83,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO2YO3YO2YOY2O3YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YO2YOYOYOY2OYOYO3,2,1.3333333333333332e+18,cR
84,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YOYOYOY2O3YOYO2YO2YOYOYOYOYO2Y2O2YOYO2YO2YO2YOYO3YO2YOYO2YO3Y,3,1.3333333333333332e+18,cR
85,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO4YOYOYOYOYO2YO4YO2YOYO2Y4OYOYOYO5Y2O3Y6OYO5YOYO2YOYO5,10,1.3333333333333332e+18,cR
86,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2Y2OYOY2O3YOYOYO2YOYO2YOYOYOYO2Y2OYOYO2YO3YOY2O4YO2YOYOYO3YO5Y2O2,6,1.3333333333333332e+18,cR
87,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YOYO2,6,2e+19,cR
88,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YO2YO2Y2O2YOYO2YO2YO2YOYOY2O2YOYO2YO2Y2O2YO2YO2Y3OYO2YO2YO3YOYOYO2YO2,9,1.3333333333333332e+18,cR
89,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YOY2O4YOY2O2YOYO2YOYO2YOYO3Y2OYOY2O2YOYOYO3YO2YO3YOYO3,7,1.6666666666666668e+18,cR
90,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,Y2O2YO2YO2YOY3O3YOYO2YO2YO3YOYO3YOYO2YOY2OY2O2YO2YO2YOYO2YO3YO2YOYOYO2,10,1.3333333333333332e+18,cR
91,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOYOYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y3OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
92,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO2YO3YO2YOY2O3YO2YO2YO2YOYOYOY2OYOYO3YO2YO2YOYOYOYOY2O2YOYO2,4,1.3333333333333332e+18,cR
93,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
94,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO,7,2e+19,cR
95,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2O3YOYO2YO2YOYO2YO2YO2YO2Y2OYOY3O2YOYO3YOYOYO2YO2YO2YO2YOYO2YO2,9,1.3333333333333332e+18,cR
96,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YO2YO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO2YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
97,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO2YO3YO2YOY2O3YO2YO2YO2YOYOYOY2OYOYO3YO2YO2YOYOYOYOY2O2YOYO2,4,1.3333333333333332e+18,cR
